reference_area,measure,sex,age,education_level,domain,ref_area,measure_1,unit_measure,unit_of_measure,age_1,sex_1,education_lev,domain_1,year,year_1,value,observation_value,obs_status,observation_status,unit_mult,unit_multiplier,decimals,decimals_1,base_per,base_period
Argentina,10_1,F,_T,Total,HSL_10,ARG,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Female,_T,Safety,2021,,0.9,,A,Normal value,0,Units,2,Two,,
Argentina,10_1,M,_T,Total,HSL_10,ARG,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Male,_T,Safety,2021,,5.7,,A,Normal value,0,Units,2,Two,,
Argentina,10_1,_T,_T,Total,HSL_10,ARG,Homicides,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Total,_T,Safety,2021,,3.2,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,F,_T,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Safety,2024,,37.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,M,_T,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Safety,2024,,52.5,,D,Definition differs,0,Units,2,Two,,
Argentina,10_2,_T,MID,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Safety,2024,,48.71428571,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,_T,OLD,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Safety,2024,,45.85714286,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,_T,YOUNG,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Safety,2024,,42.85714286,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,_T,_T,Secondary education,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Safety,2024,,46.2,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,_T,_T,Tertiary education,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Safety,2024,,45.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_2,_T,_T,Total,HSL_10,ARG,Feeling safe at night,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Safety,2024,,44.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,F,_T,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Safety,2024,,60.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,M,_T,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Safety,2024,,45.5,,D,Definition differs,0,Units,2,Two,,
Argentina,10_2_DEP,_T,MID,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Safety,2024,,50.28571429,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,_T,OLD,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Safety,2024,,50.42857143,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,_T,YOUNG,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Safety,2024,,56.42857143,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,_T,_T,Secondary education,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Safety,2024,,52.2,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,_T,_T,Tertiary education,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Safety,2024,,52.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_2_DEP,_T,_T,Total,HSL_10,ARG,Not feeling safe at night,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Safety,2024,,53.5,,A,Normal value,0,Units,2,Two,,
Argentina,10_3,_T,_T,Total,HSL_10,ARG,Road deaths,DT_10P5HB,Deaths per 100 000 inhabitants,Total,Total,_T,Safety,2017,,12.30564935,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,F,_T,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Female,_T,Subjective well-being,2024,,42.5,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,M,_T,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Male,_T,Subjective well-being,2024,,33.0,,D,Definition differs,0,Units,2,Two,,
Argentina,11_3,_T,MID,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Total,_T,Subjective well-being,2024,,35.71428571,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,_T,OLD,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Old,Total,_T,Subjective well-being,2024,,46.28571429,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,_T,YOUNG,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Young,Total,_T,Subjective well-being,2024,,31.42857143,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,_T,_T,Secondary education,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_2_3,Subjective well-being,2024,,35.6,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,_T,_T,Tertiary education,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Total,Total,ISCED11_5T8,Subjective well-being,2024,,30.25,,A,Normal value,0,Units,2,Two,,
Argentina,11_3,_T,_T,Total,HSL_11,ARG,Feelings of physical pain,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Total,Total,_T,Subjective well-being,2024,,38.0,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,F,_T,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Female,_T,Work and job quality,2023,,68.726,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,M,_T,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Male,_T,Work and job quality,2023,,87.396,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,MID,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Total,_T,Work and job quality,2023,,81.0,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,OLD,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Old,Total,_T,Work and job quality,2023,,63.728,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,YOUNG,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Young,Total,_T,Work and job quality,2023,,32.33,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,_T,Primary education,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,ISCED11_1,Work and job quality,2023,,70.41471863,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,_T,Secondary education,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,ISCED11_2_3,Work and job quality,2023,,77.03054047,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,_T,Tertiary education,HSL_2,ARG,Employment rate,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Total,Total,ISCED11_5T8,Work and job quality,2023,,88.02670288,,A,Normal value,0,Units,2,Two,,
Argentina,2_1,_T,_T,Total,HSL_2,ARG,Employment rate,PT_POP_Y25T64,Percentage of population aged 25-64 years,Total,Total,_T,Work and job quality,2023,,77.853,,A,Normal value,0,Units,2,Two,,
Argentina,2_2,_T,_T,Total,HSL_2,ARG,Gender wage gap,PT_WG_SAL_M_D,Percentage of wages of men in the same decile,Total,Total,_T,Work and job quality,2023,,6.25,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,F,_T,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Total,Female,_T,Work and job quality,2023,,2.129240506,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,M,_T,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Total,Male,_T,Work and job quality,2023,,1.711004673,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,_T,MID,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Middle-aged,Total,_T,Work and job quality,2023,,1.489671362,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,_T,OLD,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Old,Total,_T,Work and job quality,2023,,1.187277778,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,_T,YOUNG,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Young,Total,_T,Work and job quality,2023,,4.745337539,,A,Normal value,0,Units,2,Two,,
Argentina,2_3,_T,_T,Primary education,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Total,Total,ISCED11_1,Work and job quality,2021,,3.411115655,,D,Definition differs,0,Units,2,Two,,
Argentina,2_3,_T,_T,Secondary education,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Total,Total,ISCED11_2_3,Work and job quality,2021,,3.557902388,,D,Definition differs,0,Units,2,Two,,
Argentina,2_3,_T,_T,Tertiary education,HSL_2,ARG,Long-term unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,Total,Total,ISCED11_5T8,Work and job quality,2021,,1.348352814,,D,Definition differs,0,Units,2,Two,,
Argentina,2_3,_T,_T,Total,HSL_2,ARG,Long-term unemployment rate,PT_LF,Percentage of labour force,Total,Total,_T,Work and job quality,2023,,1.898688943,,A,Normal value,0,Units,2,Two,,
Argentina,2_4,F,_T,Total,HSL_2,ARG,"Youth not in employment, education or training",PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,Total,Female,_T,Work and job quality,2018,,24.115253,,A,Normal value,0,Units,2,Two,,
Argentina,2_4,M,_T,Total,HSL_2,ARG,"Youth not in employment, education or training",PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,Total,Male,_T,Work and job quality,2018,,15.251126,,A,Normal value,0,Units,2,Two,,
Argentina,2_4,_T,_T,Total,HSL_2,ARG,"Youth not in employment, education or training",PT_POP_Y15T24,Percentage of population aged 15-24 years,Total,Total,_T,Work and job quality,2018,,19.679968,,A,Normal value,0,Units,2,Two,,
Argentina,2_7,F,_T,Total,HSL_2,ARG,Long hours in paid work,PT_SAL_SUB,Percentage of employees in the same subgroup,Total,Female,_T,Work and job quality,2019,,7.9,,A,Normal value,0,Units,2,Two,,
Argentina,2_7,M,_T,Total,HSL_2,ARG,Long hours in paid work,PT_SAL_SUB,Percentage of employees in the same subgroup,Total,Male,_T,Work and job quality,2019,,21.02,,A,Normal value,0,Units,2,Two,,
Argentina,2_7,_T,MID,Total,HSL_2,ARG,Long hours in paid work,PT_SAL_SUB,Percentage of employees in the same subgroup,Middle-aged,Total,_T,Work and job quality,2019,,15.36,,A,Normal value,0,Units,2,Two,,
